text,confluence_url
"Сформировать справку-вызов Вы можете самостоятельно в личном кабинете на портале ""Вместе""  https://vmeste.utmn.ru/login  (раздел ""Обучение""=>""Справки""). После подписания скан-копия справки-вызов направляется на корпоративную студенческую почту. ВАЖНО! На основании ст. 173 Трудового кодекса РФ и п. 4.5. Положения о текущем контроле успеваемости и промежуточной аттестации обучающихся ФГАОУ ВО ТюмГУ справка-вызов на текущую сессию студентам заочной формы обучения оформляется только при успешной сдаче предыдущей сессии и предоставляется до начала сессии.   При наличии академической задолженности за предыдущую сессию, справка-вызов не предоставляется.",https://confluence.utmn.ru/pages/viewpage.action?pageId=86478987
"По вопросу получения справки для военкомата Вам необходимо обратиться в Отдел мобилизационной подготовки написав на почту  omp@utmn.ru   или позвонив по телефону (3452)  59-74-88,  59-75-82 . Адрес: ул. Перекопская, 15А каб.408 .  Часы работы: пн. - чт.: с 10.00 до 12.00 и с 14.00 до 16.00 пт.:  с 10.00 до 12.00 суббота, воскресенье: выходные",https://confluence.utmn.ru/pages/viewpage.action?pageId=86478990
"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета: в холле 1 этажа (ул. Семакова, д. 18), Школы компьютерных наук (ул. Перекопская, д.15а), Института государства и права (ул. Ленина, д.38), Финансово-экономического института (ул. Ленина, 16), Школы образования (проезд 9 Мая, д.5) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата (ул. Семакова, д.18, 3 этаж, холл) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет.  Студенты заочной и очно-заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата (ed@utmn.ru)",https://confluence.utmn.ru/pages/viewpage.action?pageId=86478992
"Для оформления академической справки (справки о периоде обучения) Вам необходимо подать заявку в «Единый деканат» по адресу ул. Семакова, д. 18 (3 этаж, холл) либо на электронную почту  ed@utmn.ru . Академическая справка готовится в течение 5 (пяти) рабочих дней. По готовности скан-копия документа направляется на корпоративную студенческую почту.",https://confluence.utmn.ru/pages/viewpage.action?pageId=86478994
"По вопросу получения справки о доходах (получении или отсутствии стипендии), размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту  12222@utmn.ru  или позвонив (3452) 59-76-76.  Адрес: ул. Кирова, д. 25/1. Часы работы: пн.-чт. 09.00-17.00 пт. 09.00-16.00 обед 12.30-13.15 сб., вс. - выходные дни.",https://confluence.utmn.ru/pages/viewpage.action?pageId=86478996
"Восстановление для обучения в Университете возможно в течение пяти лет после отчисления при наличии вакантных мест по соответствующей форме обучения, соответствующему направлению подготовки (специальности) и на курсе, но не ранее завершения учебного года в котором указанное лицо было отчислено. Восстановление лица, ранее обучавшегося за счет бюджетных ассигнований федерального бюджета осуществляется однократно при наличии вакантных мест и на конкурсной основе. Заявления на восстановление в Университет по  очной и очно-заочной  формам обучения принимаются два раза в год: с 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр. Заявления на восстановление на  заочную форму  обучения принимаются не позднее, чем за 2 месяца до начала учебно-экзаменационной сессии (практики) в соответствии с календарным учебным графиком   https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ Восстановление на  первый семестр  (триместр, модуль)  первого курса  допускается в случае, если перезачету подлежит одна и более дисциплины, изученные им ранее. Заявления на восстановление на первый семестр (триместр, модуль) первого курса по всем формам обучения принимаются, как правило, с 10 по 25 августа соответствующего календарного года. Необходимый пакет документов для восстановления: - Заявление о восстановлении;  - Заявление на перезачет дисциплин с оценки «зачтено» на оценку «удовлетворительно»; - Согласие на обработку персональных данных;   - Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения;   - Копия паспорта (страница с фото + прописка. Если паспорт иностранного гражданина, то также копия перевода паспорта);   - Копия СНИЛС (при наличии).     Бланки заявлений и бланки согласий на обработку персональных данных можно скачать по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Заявление Вы можете подать лично в Едином деканате по адресу ул.Семакова, д.18 (3 этаж, холл) (при себе необходимо иметь паспорт и СНИЛС), либо дистанционно, отправив пакет документов на электронную почту  ed@utmn.ru",https://confluence.utmn.ru/pages/viewpage.action?pageId=86479005
"Лицо, не прошедшее государственную итоговую аттестацию,  может повторно пройти государственную итоговую аттестацию (далее - ГИА)  не ранее чем через 10 месяцев  и не позднее чем через пять лет после срока проведения ГИА впервые.   Указанное лицо может повторно пройти ГИА не более двух раз после прохождения ГИА впервые. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ Необходимый пакет документов для восстановления: - Заявление о восстановлении для прохождения ГИА;  - Согласие на обработку персональных данных;   - Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения;   - Копия паспорта (страница с фото + прописка. Если паспорт иностранного гражданина, то также копия перевода паспорта);   - Копия СНИЛС (при наличии).     Бланк заявления и бланки согласий на обработку персональных данных можно скачать по ссылке   https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Заявление Вы можете подать лично в Едином деканате по адресу ул.Семакова, д.18 (3 этаж, холл) (при себе необходимо иметь паспорт и СНИЛС), либо дистанционно, отправив пакет документов на электронную почту  ed@utmn.ru",https://confluence.utmn.ru/pages/viewpage.action?pageId=86479009
"Отношусь к малочисленным народам севера  
 
                                                                               (да/нет)  
Отношусь к льготным категориям граждан  
________________________________________________________________ ________________  
(к детям -сиротам и детям, оставшимися без попеч ения родителей, или к лицам из их числа; 
к лицам, потерявшим в период обучения обоих родителей или единственного родителя;  
к детям -инвалидам, инвалидам I и II групп, инвалидам с детства; обучающемуся, 
получавшему государственную социальную помощь; обучающе муся, подвергшегося 
воздействию радиации вследствие катастрофы на Чернобыльской АЭС и иных радиационных 
катастроф, вследствие ядерных испытаний на Семипалатинском полигоне; обучающемуся, 
являющимся инвалидом вследствие военной травмы или заболевания, получ енных в период 
прохождения военной службы; ветеранам боевых действий; обучающемуся в возрасте  
до 20 лет, у которого единственный родитель является инвалидом I группы)  
 
 
ФИО (полностью)  _________ ___________ ____ ____ __    _______ ____________ _____. 
                                                                                                                                (подпись)  
 
 
Приложение:  паспортные данные , согласие на обработку персональных данных,  согласие на 
обработку персональных данных, разрешенных субъектом персональных данных  
для распространения , страховой номер индивидуального лицевого счёта  (СНИЛС) , справка  
о периоде обучения (справка об обучении) (при наличии).  
 
 
Наличие вакантных мест (количество)  _________  
Подп ись, дата",https://confluence.utmn.ru/pages/viewpage.action?pageId=86478999&preview=%2F86478999%2F86479021%2FPologhenie_o_poryadke_otchisleniya_vosstanovleniya_obuchayuschixsya_TyumGU.pdf
"Заявление подается через личный кабинет на портале ""Вместе"" во вкладке ""Обучение"" → ""Заявления"".  Отпуск по беременности и родам предоставляется обучающемуся на основании личного заявления и выданной в установленном порядке медицинской справки. Продолжительность отпуска по беременности и родам составляет 70 (в случае многоплодной беременности – 84) календарных дней до родов и 70 (в случае осложненных родов – 86, при рождении двух или более детей – 110) календарных дней после родов, исчисляется суммарно и предоставляется полностью независимо от числа дней, фактически использованных обучающимся до родов.  Отпуск по уходу за ребенком до достижения им возраста трех лет предоставляется обучающемуся, являющемуся матерью (отцом, опекуном) на основании личного заявления, к которому прилагается копия свидетельства о рождении ребенка. Отпуск по уходу за ребенком до достижения им возраста трех лет оформляется сроком не более трех лет с момента рождения ребенка и может быть использован полностью или по частям.  За 3 недели до даты окончания отпуска необходимо подать заявление на выход из отпуска.  Бланк заявления на выход из отпуска можно скачать по ссылке   https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/otpusk/ .",https://confluence.utmn.ru/pages/viewpage.action?pageId=86479026
"Заявления о переводе принимаются два раза в год, как правило:   для студентов очной и очно–заочной форм обучения 2 курса и последующих: с одной образовательной программы на иную в течение 2 (двух) недель после окончания летней/зимней промежуточной аттестации в соответствии с календарным учебным графиком, 1 курса (1 семестр);  с одной образовательной программы на иную в течение 2 (двух) недель от начала семестра в соответствии с календарным учебным графиком, 1 курса (2 семестр);  в течение 2 (двух) недель после окончания летней промежуточной аттестации в соответствии с календарным учебным графиком;  с одной формы обучения на другую: с очной на очно-заочную, с очно-заочной на очную – в течение 2 (двух) недель после окончания летней/зимней промежуточной аттестации в соответствии с календарным учебным графиком;  с очной/очно-заочной формы обучения на заочную с 1 сентября соответствующего календарного года, но не позднее, чем за 2 (два) месяца до начала промежуточной аттестации/практики текущего семестра (триместра, модуля) в соответствии с календарным учебным графиком;  для студентов заочной формы обучения: с одной образовательной программы на иную не позднее, чем за 2 (два) месяца до начала промежуточной аттестации/практики текущего семестра (триместра, модуля) иной образовательной программы;  с одной формы обучения на другую; с заочной на очную/очно – заочную форму обучения в первые 2 (две) недели начала семестра по очной/ очно – заочной форме обучения в соответствии с календарным учебным графиком. Пакет документов для перевода: Заявление о переводе Заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно""  Бланки заявлений можно скачать по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-vnutri/   Заявления Вы можете подать лично в «Едином деканате» по адресу ул.Семакова, д.18 (3 этаж, холл) или направить на электронную почту  ed@utmn.ru",https://confluence.utmn.ru/pages/viewpage.action?pageId=86479041
